D:\Agilent\ICPMH\1\DATA\Vera\2025-06-16_ETV_TRA_O2.b\011SMPL.d,
10.60545,1186.94
10.63595,1225.07
10.66645,1249.15
10.69696,1184.94
10.72746,1241.13
10.75796,1257.18
10.78846,1194.97
10.81897,1213.03
10.84947,1199.99
10.87997,1186.94
10.91048,1201.99
10.94098,1168.89
10.97148,1230.09
11.00199,1180.93
11.03249,1170.89
11.06299,1189.95
11.09349,1147.82
11.124,1211.02
11.1545,1213.03
11.185,1141.8
11.21551,1179.92
11.24601,1203
11.27651,1233.1
11.30702,1204
11.33752,1172.9
11.36802,1169.89
11.39852,1208.01
11.42903,1132.77
11.45953,1162.87
11.49003,1168.89
11.52054,1260.19
11.55104,1191.96
11.58154,1136.78
11.61205,1171.9
11.64255,1161.86
11.67305,1180.93
11.70355,1174.91
11.73406,1188.95
11.76456,1184.94
11.79506,1158.85
11.82557,1255.17
11.85607,1148.82
11.88657,1178.92
11.91708,1207.01
11.94758,1231.09
11.97808,1175.91
12.00858,1262.2
12.03909,1163.87
12.06959,1210.02
12.10009,1178.92
12.1306,1171.9
12.1611,1233.1
12.1916,1245.14
12.22211,1164.87
12.25261,1166.88
12.28311,1192.96
12.31361,1229.09
12.34412,1210.02
12.37462,1167.88
12.40512,1115.72
12.43563,1230.09
12.46613,1173.9
12.49663,1238.12
12.52714,1201.99
12.55764,1149.83
12.58814,1155.84
12.61864,1196.98
12.64915,1207.01
12.67965,1163.87
12.71015,1117.72
12.74066,1154.84
12.77116,1247.15
12.80166,1203
12.83217,1219.05
12.86267,1190.96
12.89317,1153.84
12.92367,1149.83
12.95418,1218.05
12.98468,1178.92
13.01518,1152.83
13.04569,1204
13.07619,1181.93
13.10669,1170.89
13.1372,1210.02
13.1677,1223.07
13.1982,1241.13
13.2287,1217.04
13.25921,1183.94
13.28971,1152.83
13.32021,1201.99
13.35072,1210.02
13.38122,1188.95
13.41172,1135.78
13.44223,1111.71
13.47273,1141.8
13.50323,1146.82
13.53373,1229.09
13.56424,1190.96
13.59474,1214.03
13.62524,1150.83
13.65575,1157.85
13.68625,1204
13.71675,1147.82
13.74726,1223.07
13.77776,1201.99
13.80826,1144.81
13.83876,1169.89
13.86927,1206.01
13.89977,1145.81
13.93027,1179.92
13.96078,1172.9
13.99128,1209.02
14.02178,1185.94
14.05229,1131.77
14.08279,1177.92
14.11329,1118.73
14.14379,1304.35
14.1743,1142.8
14.2048,1153.84
14.2353,1155.84
14.26581,1153.84
14.29631,1200.99
14.32681,1218.05
14.35732,1236.11
14.38782,1201.99
14.41832,1133.77
14.44882,1114.72
14.47933,1153.84
14.50983,1165.88
14.54033,1187.95
14.57084,1145.81
14.60134,1177.92
14.63184,1165.88
14.66235,1170.89
14.69285,1261.2
14.72335,1214.03
14.75385,1256.18
14.78436,1147.82
14.81486,1171.9
14.84536,1101.68
14.87587,1107.69
14.90637,1156.85
14.93687,1153.84
14.96738,1242.13
14.99788,1172.9
15.02838,1196.98
15.05888,1180.93
15.08939,1138.79
15.11989,1147.82
15.15039,1080.61
15.1809,1195.97
15.2114,1195.97
15.2419,1160.86
15.27241,1249.15
15.30291,1241.13
15.33341,1164.87
15.36391,1187.95
15.39442,1163.87
15.42492,1192.96
15.45542,1167.88
15.48593,1220.05
15.51643,1246.14
15.54693,1207.01
15.57744,1184.94
15.60794,1114.72
15.63844,1194.97
15.66894,1138.79
15.69945,1165.88
15.72995,1211.02
15.76045,1185.94
15.79096,1224.07
15.82146,1130.77
15.85196,1180.93
15.88247,1164.87
15.91297,1169.89
15.94347,1160.86
15.97397,1151.83
16.00448,1120.73
16.03498,1148.82
16.06548,1207.01
16.09599,1160.86
16.12649,1163.87
16.15699,1184.94
16.1875,1188.95
16.218,1178.92
16.2485,1138.79
16.279,1196.98
16.30951,1241.13
16.34001,1166.88
16.37051,1233.1
16.40102,1074.59
16.43152,1157.85
16.46202,1227.08
16.49253,1196.98
16.52303,1221.06
16.55353,1088.64
16.58403,1205
16.61454,1206.01
16.64504,1172.9
16.67554,1278.26
16.70605,1152.83
16.73655,1237.11
16.76705,1146.82
16.79756,1206.01
16.82806,1059.55
16.85856,1233.1
16.88906,1203
16.91957,1269.22
16.95007,1129.76
16.98057,1173.9
17.01108,1136.78
17.04158,1206.01
17.07208,1160.86
17.10259,1151.83
17.13309,1146.82
17.16359,1208.01
17.19409,1217.04
17.2246,1195.97
17.2551,1149.83
17.2856,1247.15
17.31611,1154.84
17.34661,1178.92
17.37711,1178.92
17.40762,1159.86
17.43812,1205
17.46862,1128.76
17.49912,1192.96
17.52963,1152.83
17.56013,1185.94
17.59063,1146.82
17.62114,1096.66
17.65164,1196.98
17.68214,1142.8
17.71265,1163.87
17.74315,1121.74
17.77365,1193.97
17.80415,1198.98
17.83466,1135.78
17.86516,1143.81
17.89566,1195.97
17.92617,1244.14
17.95667,1116.72
17.98717,1208.01
18.01768,1299.33
18.04818,1183.94
18.07868,1153.84
18.10918,1224.07
18.13969,1182.93
18.17019,1150.83
18.20069,1168.89
18.2312,1144.81
18.2617,1155.84
18.2922,1127.76
18.32271,1199.99
18.35321,1121.74
18.38371,1154.84
18.41421,1119.73
18.44472,1203
18.47522,1154.84
18.50572,1101.68
18.53623,1118.73
18.56673,1161.86
18.59723,1144.81
18.62774,1142.8
18.65824,1158.85
18.68874,1234.1
18.71924,1146.82
18.74975,1112.71
18.78025,1219.05
18.81075,1240.12
18.84126,1174.91
18.87176,1153.84
18.90226,1162.87
18.93277,1207.01
18.96327,1237.11
18.99377,1252.16
19.02427,1138.79
19.05478,1153.84
19.08528,1189.95
19.11578,1180.93
19.14629,1169.89
19.17679,1152.83
19.20729,1175.91
19.2378,1105.69
19.2683,1210.02
19.2988,1136.78
19.3293,1186.94
19.35981,1186.94
19.39031,1100.67
19.42081,1170.89
19.45132,1122.74
19.48182,1131.77
19.51232,1180.93
19.54283,1203
19.57333,1150.83
19.60383,1199.99
19.63433,1099.67
19.66484,1136.78
19.69534,1141.8
19.72584,1142.8
19.75635,1212.03
19.78685,1219.05
19.81735,1210.02
19.84786,1192.96
19.87836,1191.96
19.90886,1078.61
19.93936,1181.93
19.96987,1173.9
20.00037,1216.04
20.03087,1170.89
20.06138,1142.8
20.09188,1117.72
20.12238,1111.71
20.15289,1180.93
20.18339,1139.79
20.21389,1141.8
20.24439,1139.79
20.2749,1264.21
20.3054,1086.63
20.3359,1108.7
20.36641,1139.79
20.39691,1142.8
20.42741,1193.97
20.45792,1160.86
20.48842,1197.98
20.51892,1182.93
20.54942,1143.81
20.57993,1129.76
20.61043,1175.91
20.64093,1133.77
20.67144,1116.72
20.70194,1240.12
20.73244,1098.67
20.76295,1129.76
20.79345,1121.74
20.82395,1190.96
20.85445,1153.84
20.88496,1161.86
20.91546,1193.97
20.94596,1179.92
20.97647,1180.93
21.00697,1114.72
21.03747,1159.86
21.06798,1147.82
21.09848,1171.9
21.12898,1153.84
21.15948,1133.77
21.18999,1132.77
21.22049,1203
21.25099,1157.85
21.2815,1161.86
21.312,1236.11
21.3425,1178.92
21.37301,1132.77
21.40351,1183.94
21.43401,1143.81
21.46451,1155.84
21.49502,1182.93
21.52552,1249.15
21.55602,1106.69
21.58653,1151.83
21.61703,1185.94
21.64753,1163.87
21.67804,1121.74
21.70854,1118.73
21.73904,1161.86
21.76954,1175.91
21.80005,1210.02
21.83055,1188.95
21.86105,1255.17
21.89156,1150.83
21.92206,1145.81
21.95256,1261.2
21.98307,1154.84
22.01357,1170.89
22.04407,1113.71
22.07457,1104.68
22.10508,1116.72
22.13558,1163.87
22.16608,1169.89
22.19659,1193.97
22.22709,1165.88
22.25759,1206.01
22.2881,1194.97
22.3186,1187.95
22.3491,1160.86
22.3796,1158.85
22.41011,1168.89
22.44061,1166.88
22.47111,1177.92
22.50162,1177.92
22.53212,1197.98
22.56262,1210.02
22.59313,1172.9
22.62363,1138.79
22.65413,1182.93
22.68463,1238.12
22.71514,1161.86
22.74564,1192.96
22.77614,1171.9
22.80665,1237.11
22.83715,1155.84
22.86765,1160.86
22.89816,1154.84
22.92866,1232.1
22.95916,1038.49
22.98966,1107.69
23.02017,1130.77
23.05067,1184.94
23.08117,1117.72
23.11168,1123.74
23.14218,1201.99
23.17268,1218.05
23.20319,1130.77
23.23369,1182.93
23.26419,1248.15
23.29469,1151.83
23.3252,1154.84
23.3557,1194.97
23.3862,1201.99
23.41671,1228.08
23.44721,1148.82
23.47771,1172.9
23.50822,1089.64
23.53872,1147.82
23.56922,1152.83
23.59972,1125.75
23.63023,1152.83
23.66073,1170.89
23.69123,1199.99
23.72174,1139.79
23.75224,1153.84
23.78274,1164.87
23.81325,1191.96
23.84375,1171.9
23.87425,1186.94
23.90475,1122.74
23.93526,1169.89
23.96576,1234.1
23.99626,1206.01
24.02677,1155.84
24.05727,1167.88
24.08777,1133.77
24.11828,1133.77
24.14878,1139.79
24.17928,1152.83
24.20978,1112.71
24.24029,1182.93
24.27079,1186.94
24.30129,1132.77
24.3318,1143.81
24.3623,1226.08
24.3928,1127.76
24.42331,1196.98
24.45381,1218.05
24.48431,1156.85
24.51481,1153.84
24.54532,1170.89
24.57582,1184.94
24.60632,1141.8
24.63683,1121.74
24.66733,1110.7
24.69783,1204
24.72834,1196.98
24.75884,1098.67
24.78934,1134.78
24.81984,1200.99
24.85035,1105.69
24.88085,1189.95
24.91135,1109.7
24.94186,1173.9
24.97236,1190.96
25.00286,1141.8
25.03337,1160.86
25.06387,1151.83
25.09437,1162.87
25.12487,1159.86
25.15538,1139.79
25.18588,1156.85
25.21638,1133.77
25.24689,1164.87
25.27739,1131.77
25.30789,1164.87
25.3384,1172.9
25.3689,1189.95
25.3994,1096.66
25.4299,1195.97
25.46041,1126.75
25.49091,1214.03
25.52141,1203
25.55192,1128.76
25.58242,1166.88
25.61292,1175.91
25.64343,1179.92
25.67393,1150.83
25.70443,1135.78
25.73493,1108.7
25.76544,1151.83
25.79594,1168.89
25.82644,1214.03
25.85695,1209.02
25.88745,1123.74
25.91795,1123.74
25.94846,1151.83
25.97896,1184.94
26.00946,1201.99
26.03996,1187.95
26.07047,1153.84
26.10097,1126.75
26.13147,1075.6
26.16198,1199.99
26.19248,1112.71
26.22298,1158.85
26.25349,1224.07
26.28399,1168.89
26.31449,1240.12
26.34499,1212.03
26.3755,1137.79
26.406,1176.91
26.4365,1217.04
26.46701,1172.9
26.49751,1183.94
26.52801,1159.86
26.55852,1218.05
26.58902,1171.9
26.61952,1174.91
26.65002,1134.78
26.68053,1163.87
26.71103,1113.71
26.74153,1212.03
26.77204,1227.08
26.80254,1130.77
26.83304,1170.89
26.86355,1159.86
26.89405,1109.7
26.92455,1162.87
26.95505,1149.83
26.98556,1179.92
27.01606,1157.85
27.04656,1182.93
27.07707,1195.97
27.10757,1157.85
27.13807,1150.83
27.16858,1140.8
27.19908,1137.79
27.22958,1143.81
27.26008,1144.81
27.29059,1124.75
27.32109,1077.6
27.35159,1153.84
27.3821,1170.89
27.4126,1148.82
27.4431,1148.82
27.47361,1160.86
27.50411,1123.74
27.53461,1179.92
27.56511,1199.99
27.59562,1174.91
27.62612,1150.83
27.65662,1182.93
27.68713,1187.95
27.71763,1184.94
27.74813,1147.82
27.77864,1184.94
27.80914,1172.9
27.83964,1146.82
27.87014,1206.01
27.90065,1148.82
27.93115,1144.81
27.96165,1153.84
27.99216,1158.85
28.02266,1154.84
28.05316,1128.76
28.08367,1185.94
28.11417,1137.79
28.14467,1211.02
28.17517,1151.83
28.20568,1100.67
28.23618,1110.7
28.26668,1257.18
28.29719,1182.93
28.32769,1192.96
28.35819,1143.81
28.3887,1206.01
28.4192,1112.71
28.4497,1212.03
28.4802,1173.9
28.51071,1145.81
28.54121,1170.89
28.57171,1148.82
28.60222,1212.03
28.63272,1163.87
28.66322,1220.05
28.69373,1200.99
28.72423,1099.67
28.75473,1206.01
28.78523,1179.92
28.81574,1080.61
28.84624,1157.85
28.87674,1138.79
28.90725,1159.86
28.93775,1157.85
28.96825,1187.95
28.99876,1088.64
29.02926,1158.85
29.05976,1132.77
29.09026,1151.83
29.12077,1122.74
29.15127,1127.76
29.18177,1205
29.21228,1148.82
29.24278,1166.88
29.27328,1135.78
29.30379,1177.92
29.33429,1187.95
29.36479,1127.76
29.39529,1168.89
29.4258,1113.71
29.4563,1096.66
29.4868,1138.79
29.51731,1234.1
29.54781,1161.86
29.57831,1192.96
29.60882,1148.82
29.63932,1154.84
29.66982,1147.82
29.70032,1160.86
29.73083,1184.94
29.76133,1112.71
29.79183,1167.88
29.82234,1189.95
29.85284,1173.9
29.88334,1142.8
29.91385,1172.9
29.94435,1258.19
29.97485,1206.01
30.00535,1170.89
30.03586,1134.78
30.06636,1128.76
30.09686,1146.82
30.12737,1155.84
30.15787,1096.66
30.18837,1142.8
30.21888,1195.97
30.24938,1203
30.27988,1184.94
30.31038,1173.9
30.34089,1143.81
30.37139,1150.83
30.40189,1130.77
30.4324,1102.68
30.4629,1139.79
30.4934,1182.93
30.52391,1161.86
30.55441,1195.97
30.58491,1181.93
30.61541,1113.71
30.64592,1190.96
30.67642,1218.05
30.70692,1172.9
30.73743,1119.73
30.76793,1131.77
30.79843,1225.07
30.82894,1225.07
30.85944,1150.83
30.88994,1132.77
30.92044,1205
30.95095,1189.95
30.98145,1192.96
31.01195,1068.58
31.04246,1191.96
31.07296,1134.78
31.10346,1177.92
31.13397,1214.03
31.16447,1168.89
31.19497,1159.86
31.22547,1217.04
31.25598,1146.82
31.28648,1160.86
31.31698,1121.74
31.34749,1184.94
31.37799,1164.87
31.40849,1134.78
31.439,1152.83
31.4695,1158.85
31.5,1148.82
31.5305,1190.96
31.56101,1134.78
31.59151,1144.81
31.62201,1189.95
31.65252,1183.94
31.68302,1154.84
31.71352,1078.61
31.74403,1233.1
31.77453,1137.79
31.80503,1122.74
31.83553,1181.93
31.86604,1098.67
31.89654,1217.04
31.92704,1181.93
31.95755,1141.8
31.98805,1125.75
32.01855,1215.04
32.04906,1111.71
32.07956,1154.84
32.11006,1196.98
32.14056,1180.93
32.17107,1132.77
32.20157,1200.99
32.23207,1178.92
32.26258,1171.9
32.29308,1194.97
32.32358,1199.99
32.35409,1108.7
32.38459,1179.92
32.41509,1155.84
32.44559,1137.79
32.4761,1155.84
32.5066,1095.66
32.5371,1135.78
32.56761,1153.84
32.59811,1142.8
32.62861,1214.03
32.65912,1153.84
32.68962,1203
32.72012,1140.8
32.75062,1136.78
32.78113,1201.99
32.81163,1180.93
32.84213,1217.04
32.87264,1120.73
32.90314,1222.06
32.93364,1190.96
32.96415,1093.65
32.99465,1116.72
33.02515,1163.87
33.05565,1158.85
33.08616,1145.81
33.11666,1193.97
33.14716,1139.79
33.17767,1194.97
33.20817,1235.11
33.23867,1185.94
33.26918,1213.03
33.29968,1144.81
33.33018,1135.78
33.36068,1136.78
33.39119,1163.87
33.42169,1160.86
33.45219,1186.94
33.4827,1227.08
33.5132,1127.76
33.5437,1143.81
33.57421,1102.68
33.60471,1162.87
33.63521,1099.67
33.66571,1124.75
33.69622,1152.83
33.72672,1081.62
33.75722,1155.84
33.78773,1179.92
33.81823,1160.86
33.84873,1131.77
33.87924,1125.75
33.90974,1161.86
33.94024,1159.86
33.97074,1149.83
34.00125,1235.11
34.03175,1122.74
34.06225,1177.92
34.09276,1165.88
34.12326,1174.91
34.15376,1228.08
34.18427,1163.87
34.21477,1148.82
34.24527,1095.66
34.27577,1103.68
34.30628,1149.83
34.33678,1135.78
34.36728,1156.85
34.39779,1149.83
34.42829,1170.89
34.45879,1165.88
34.4893,1163.87
34.5198,1230.09
34.5503,1150.83
34.5808,1132.77
34.61131,1257.18
34.64181,1144.81
34.67231,1245.14
34.70282,1207.01
34.73332,1128.76
34.76382,1149.83
34.79433,1199.99
34.82483,1141.8
34.85533,1136.78
34.88583,1259.19
34.91634,1203
34.94684,1189.95
34.97734,1173.9
35.00785,1136.78
35.03835,1147.82
35.06885,1114.72
35.09936,1195.97
35.12986,1177.92
35.16036,1196.98
35.19086,1211.02
35.22137,1139.79
35.25187,1100.67
35.28237,1036.48
35.31288,1112.71
35.34338,1158.85
35.37388,1180.93
35.40439,1177.92
35.43489,1167.88
35.46539,1197.98
35.49589,1148.82
35.5264,1129.76
35.5569,1179.92
35.5874,1125.75
35.61791,1130.77
35.64841,1108.7
35.67891,1067.57
35.70942,1208.01
35.73992,1208.01
35.77042,1155.84
35.80092,1177.92
35.83143,1171.9
35.86193,1216.04
35.89243,1140.8
35.92294,1103.68
35.95344,1162.87
35.98394,1122.74
36.01445,1226.08
36.04495,1192.96
36.07545,1098.67
36.10595,1138.79
36.13646,1157.85
36.16696,1129.76
36.19746,1141.8
36.22797,1192.96
36.25847,1195.97
36.28897,1153.84
36.31948,1149.83
36.34998,1108.7
36.38048,1154.84
36.41098,1152.83
36.44149,1135.78
36.47199,1129.76
36.50249,1241.13
36.533,1172.9
36.5635,1260.19
36.594,1144.81
36.62451,1141.8
36.65501,1218.05
36.68551,1166.88
36.71601,1084.62
36.74652,1148.82
36.77702,1146.82
36.80752,1098.67
36.83803,1156.85
36.86853,1155.84
36.89903,1201.99
36.92954,1182.93
36.96004,1130.77
36.99054,1166.88
37.02104,1167.88
37.05155,1121.74
37.08205,1108.7
37.11255,1220.05
37.14306,1177.92
37.17356,1165.88
37.20406,1188.95
37.23457,1095.66
37.26507,1162.87
37.29557,1098.67
37.32607,1155.84
37.35658,1194.97
37.38708,1180.93
37.41758,1143.81
37.44809,1166.88
37.47859,1265.21
37.50909,1136.78
37.5396,1131.77
37.5701,1204
37.6006,1158.85
37.6311,1231.09
37.66161,1166.88
37.69211,1138.79
37.72261,1183.94
37.75312,1114.72
37.78362,1155.84
37.81412,1126.75
37.84463,1112.71
37.87513,1220.05
37.90563,1102.68
37.93613,1173.9
37.96664,1171.9
37.99714,1230.09
38.02764,1149.83
38.05815,1097.66
38.08865,1157.85
38.11915,1168.89
38.14966,1180.93
38.18016,1150.83
38.21066,1154.84
38.24116,1218.05
38.27167,1217.04
38.30217,1197.98
38.33267,1046.51
38.36318,1148.82
38.39368,1134.78
38.42418,1120.73
38.45469,1140.8
38.48519,1166.88
38.51569,1198.98
38.54619,1110.7
38.5767,1166.88
38.6072,1215.04
38.6377,1108.7
38.66821,1188.95
38.69871,1201.99
38.72921,1220.05
38.75972,1130.77
38.79022,1168.89
38.82072,1206.01
38.85122,1175.91
38.88173,1085.63
38.91223,1239.12
38.94273,1173.9
38.97324,1122.74
39.00374,1176.91
39.03424,1144.81
39.06475,1114.72
39.09525,1176.91
39.12575,1126.75
39.15625,1191.96
39.18676,1137.79
39.21726,1150.83
39.24776,1166.88
39.27827,1156.85
39.30877,1149.83
39.33927,1187.95
39.36978,1138.79
39.40028,1160.86
39.43078,1164.87
39.46128,1159.86
39.49179,1136.78
39.52229,1217.04
39.55279,1120.73
39.5833,1126.75
39.6138,1190.96
39.6443,1188.95
39.67481,1124.75
39.70531,1101.68
39.73581,1139.79
39.76631,1145.81
39.79682,1163.87
39.82732,1102.68
39.85782,1141.8
39.88833,1141.8
39.91883,1129.76
39.94933,1089.64
39.97984,1135.78
40.01034,1192.96
40.04084,1144.81
40.07134,1080.61
40.10185,1243.13
40.13235,1159.86
40.16285,1098.67
40.19336,1115.72
40.22386,1206.01
40.25436,1140.8
40.28487,1160.86
40.31537,1154.84
40.34587,1094.65
40.37637,1112.71
40.40688,1127.76
40.43738,1152.83
40.46788,1200.99
40.49839,1146.82
40.52889,1129.76
40.55939,1162.87
40.5899,1120.73
40.6204,1163.87
40.6509,1117.72
40.6814,1169.89
40.71191,1187.95
40.74241,1114.72
40.77291,1136.78
40.80342,1138.79
40.83392,1176.91
40.86442,1188.95
40.89493,1135.78
40.92543,1135.78
40.95593,1107.69
40.98643,1136.78
41.01694,1142.8
41.04744,1156.85
41.07794,1141.8
41.10845,1130.77
41.13895,1114.72
41.16945,1204
41.19996,1151.83
41.23046,1187.95
41.26096,1146.82
41.29146,1162.87
41.32197,1168.89
41.35247,1199.99
41.38297,1231.09
41.41348,1191.96
41.44398,1117.72
41.47448,1165.88
41.50499,1208.01
41.53549,1178.92
41.56599,1100.67
41.59649,1193.97
41.627,1133.77
41.6575,1216.04
41.688,1128.76
41.71851,1112.71
41.74901,1133.77
41.77951,1148.82
41.81002,1133.77
41.84052,1129.76
41.87102,1228.08
41.90152,1099.67
41.93203,1179.92
41.96253,1144.81
41.99303,1178.92
42.02354,1186.94
42.05404,1142.8
42.08454,1106.69
42.11505,1181.93
42.14555,1242.13
42.17605,1206.01
42.20655,1130.77
42.23706,1147.82
42.26756,1130.77
42.29806,1144.81
42.32857,1170.89
42.35907,1158.85
42.38957,1182.93
